Data,Descrição da Transação,Valor,Conta Contábil
29/03/2025,Compra de copos descartáveis - Atacado de Descartáveis,40.00,Despesa - Materiais de Consumo
30/03/2025,Juros recebidos de aplicação - Poupança,20.00,Receita - Financeiras
31/03/2025,Recebimento por venda de ativo - Equipamento antigo,500.00,Receita - Outras Receitas
01/04/2025,Pagamento de aluguel da sede - Abril/2025,5500.00,Despesa - Aluguel
02/04/2025,Compra de pastas e fichários - Escritório Mais,180.00,Despesa - Materiais de Escritório
03/04/2025,PIX recebido de Cliente Giga - Suporte Técnico,12000.00,Receita - Serviços Prestados
04/04/2025,Conta de gás - Comgás - Fatura Mar/2025,90.00,Despesa - Gás
05/04/2025,Salário do mês de Março/2025 - Ana Paula,3200.00,Despesa - Salários
06/04/2025,Limpeza de fachada - Empresa Façade,750.00,Despesa - Serviços de Manutenção
07/04/2025,Licença de antivírus - Norton,250.00,Despesa - Softwares e Licenças
08/04/2025,Venda de serviço de consultoria - Cliente Soluções,11000.00,Receita - Serviços Prestados
09/04/2025,Reparo de rede elétrica - Eletricista XPTO,400.00,Despesa - Manutenção Predial
10/04/2025,Recarga de telefone fixo - Credfone,50.00,Despesa - Telefonia
11/04/2025,Materiais de limpeza para banheiro - Limpa Tudo,75.00,Despesa - Materiais de Limpeza
12/04/2025,Lanche para reunião interna - Padaria Central,100.00,Despesa - Refeições
13/04/2025,Compra de cartuchos de tinta - Kalunga,200.00,Despesa - Materiais de Escritório
14/04/2025,Pagamento de boleto - Fornecedor de papel,8.50,Despesa - Taxas Bancárias
15/04/2025,Juros sobre capital de giro - Banco Y,250.00,Receita - Financeiras
16/04/2025,Troca de óleo do veículo - Auto Mecânica,150.00,Despesa - Manutenção de Veículos
17/04/2025,Passagem aérea - Viagem de treinamento - Azul Linhas Aéreas,700.00,Despesa - Viagens
18/04/2025,Serviços de segurança patrimonial - Vigia Max,500.00,Despesa - Serviços de Segurança
19/04/2025,Pagamento de seguro de responsabilidade civil - Bradesco Seguros,300.00,Despesa - Seguros
20/04/2025,Receita de serviços de consultoria - Cliente Alfa,16000.00,Receita - Serviços Prestados
21/04/2025,Compra de envelopes - Papelaria Moderna,30.00,Despesa - Materiais de Escritório
22/04/2025,Manutenção de computadores - Assistência Técnica,280.00,Despesa - Manutenção de Equipamentos
23/04/2025,Impressão de materiais de divulgação - Gráfica Expressa,150.00,Despesa - Marketing e Publicidade
24/04/2025,Recarga de créditos para celular - Tim,60.00,Despesa - Telefonia
25/04/2025,Estacionamento - Viagem de campo,40.00,Despesa - Deslocamento
26/04/2025,Plano odontológico funcionários - OdontoPrev,400.00,Despesa - Benefícios a Funcionários
27/04/2025,Material para copa - Gelo e descartáveis,55.00,Despesa - Materiais de Consumo
28/04/2025,Participação em feira de negócios - Estande,1000.00,Despesa - Marketing e Publicidade
29/04/2025,Conserto de elevador - Empresa Elevadores,600.00,Despesa - Manutenção Predial
30/04/2025,Serviço de entrega rápida - Loggi,80.00,Despesa - Serviços de Entrega
01/05/2025,Pagamento de aluguel da sede - Maio/2025,5500.00,Despesa - Aluguel
02/05/2025,Compra de pastas suspensas - Le Biscuit,95.00,Despesa - Materiais de Escritório
03/05/2025,Recebimento por desenvolvimento de app - Cliente Mobile,28000.00,Receita - Serviços Prestados
04/05/2025,Fatura de energia elétrica - Abril/2025,520.00,Despesa - Energia Elétrica
05/05/2025,IRRF sobre salários - Abril/2025,1200.00,Despesa - Impostos e Taxas
06/05/2025,Manutenção de sistema de segurança - SegurPro,300.00,Despesa - Serviços de Segurança
07/05/2025,Assinatura de plataforma de e-mail marketing - Mailchimp,150.00,Despesa - Marketing e Publicidade
08/05/2025,Venda de softwares - Licença corporativa,9000.00,Receita Vendas de Produtos
09/05/2025,Instalação de software - Técnico de TI,350.00,Despesa - Serviços de TI
10/05/2025,Conta de celular corporativo - Claro Empresas,210.00,Despesa - Telefonia
11/05/2025,Cesta básica funcionários - Supermercado X,800.00,Despesa - Benefícios a Funcionários
12/05/2025,Reunião almoço com equipe - Restaurante Dona Lúcia,350.00,Despesa - Refeições
13/05/2025,Serviço de encadernação de relatórios - Copiarte,85.00,Despesa - Serviços Gráficos
14/05/2025,Taxa de manutenção de conta - Banco Z,38.00,Despesa - Taxas Bancárias
15/05/2025,Rendimentos de tesouro direto - Maio/2025,180.00,Receita - Financeiras
16/05/2025,Revisão veicular - Centro Automotivo,480.00,Despesa - Manutenção de Veículos
17/05/2025,Passagens de metrô e ônibus - Deslocamento urbano,25.00,Despesa - Deslocamento
18/05/2025,Contratação de consultor - Recursos Humanos,1500.00,Despesa - Honorários Profissionais
19/05/2025,Pagamento de seguro de vida - SulAmérica,200.00,Despesa - Seguros
20/05/2025,Receita de dividendos - Investimento em ações,700.00,Receita - Financeiras
21/05/2025,Postagem de correspondência - ECT,15.00,Despesa - Correios e Malotes
22/05/2025,Compra de cadeiras de escritório - Mobiliária Conforto,900.00,Despesa - Mobiliário
23/05/2025,Anúncio em revista especializada - Revista Tech,600.00,Despesa - Marketing e Publicidade
24/05/2025,Mensalidade de telefone e internet - Claro Residencial,250.00,Despesa - Internet
25/05/2025,Gasolina para viagens a serviço - Posto BR,190.00,Despesa - Combustível
26/05/2025,Vale transporte funcionários - RioCard,600.00,Despesa - Benefícios a Funcionários
27/05/2025,Compras de material de limpeza - Varejão Higiene,130.00,Despesa - Materiais de Limpeza
28/05/2025,Organização de evento corporativo - Buffet Sabor & Arte,2500.00,Despesa - Eventos e Feiras
29/05/2025,Pintura de parede - Pintor Profissional,400.00,Despesa - Manutenção Predial
30/05/2025,Frete de produtos - Transportadora Rápida,110.00,Despesa - Fretes e Entregas
31/05/2025,Receita de licença de uso de software - Parceiro Tech,7000.00,Receita - Softwares e Licenças
01/06/2025,Aluguel do espaço comercial - Junho/2025,5500.00,Despesa - Aluguel
02/06/2025,Compra de post-its e clipes - Armarinho da Esquina,65.00,Despesa - Materiais de Escritório
03/06/2025,PIX recebido de Cliente Mega - Licenciamento,30000.00,Receita - Serviços Prestados
04/06/2025,Fatura de telefone fixo - Tim Fixo - Mai/2025,180.00,Despesa - Telefonia
05/06/2025,Contribuição sindical - Junho/2025,150.00,Despesa - Impostos e Taxas
06/06/2025,Serviços de jardinagem - Jardineiro Silva,220.00,Despesa - Manutenção Predial
07/06/2025,Compra de monitor para estação de trabalho - Fast Shop,1200.00,Despesa - Equipamentos de Informática
08/06/2025,Venda de serviço de desenvolvimento web - Cliente Web Solutions,19000.00,Receita - Serviços Prestados
09/06/2025,Backup de dados em nuvem - Dropbox Business,80.00,Despesa - Softwares e Licenças
10/06/2025,Telefonia móvel corporativa - Vodafone,280.00,Despesa - Telefonia
11/06/2025,Produtos de higiene pessoal para escritório - Drogaria,90.00,Despesa - Materiais de Consumo
12/06/2025,Jantar de confraternização da equipe - Espaço Eventos,650.00,Despesa - Refeições
13/06/2025,Serviço de desinfecção de ambientes - Saúde Ambiental,380.00,Despesa - Serviços de Manutenção
14/06/2025,Taxa de saque - Caixa Eletrônico,5.00,Despesa - Taxas Bancárias
15/06/2025,Receita de aluguel de equipamento - Máquina de café,150.00,Receita - Aluguel
16/06/2025,Troca de pneus do veículo da frota - Pneus Mania,700.00,Despesa - Manutenção de Veículos
17/06/2025,Táxi para aeroporto - Viagem a negócios,120.00,Despesa - Viagens
18/06/2025,Adiantamento salarial - Funcionário Carlos,500.00,Despesa - Salários
19/06/2025,Comissão de vendas - Vendedor Top,1500.00,Receita Vendas de Produtos
20/06/2025,Receita de consultoria financeira - Cliente Capital,22000.00,Receita - Serviços Prestados
21/06/2025,Compra de carimbos e almofadas - Gráfica Rápida,70.00,Despesa - Materiais de Escritório
22/06/2025,Manutenção de sistema de ventilação - Air Confort,420.00,Despesa - Manutenção Predial
23/06/2025,Campanha de e-mail marketing - LeadLovers,180.00,Despesa - Marketing e Publicidade
24/06/2025,Assinatura de plano de dados móvel - Claro,100.00,Despesa - Telefonia
25/06/2025,Uber para reuniões externas,65.00,Despesa - Deslocamento
26/06/2025,Plano de previdência privada - Bradesco Previdência,300.00,Despesa - Benefícios a Funcionários
27/06/2025,Compra de filtro de água - Purificador Plus,180.00,Despesa - Materiais de Consumo
28/06/2025,Consultoria de SEO - Rankeia Agora,900.00,Despesa - Marketing e Publicidade
29/06/2025,Reparo de fiação elétrica - Eletro Serve,270.00,Despesa - Manutenção Predial
30/06/2025,Serviço de lavanderia para uniformes - Lavanderia Express,90.00,Despesa - Despesas Administrativas
